Date,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap,btc_Open,btc_High,btc_Low,btc_Close,btc_Volume,btc_Market Cap,xrp_Open,xrp_High,xrp_Low,xrp_Close,xrp_Volume,xrp_Market Cap,xmr_Open,xmr_High,xmr_Low,xmr_Close,xmr_Volume,xmr_Market Cap,ltc_Open,ltc_High,ltc_Low,ltc_Close,ltc_Volume,ltc_Market Cap
2017-08-30,369.47,388.75,361.97,378.49,"1,333,320,000","34,848,400,000",4570.36,4626.52,4471.41,4565.3,"1,937,850,000","75,556,600,000",33.48,35.84,29.71,33.1,"97,289,600","1,673,910,000",133.84,135.83,124.06,132.38,"106,543,000","2,008,790,000",63.16,64.21,60.9,64.17,"240,309,000","3,328,240,000"
2017-08-29,347.96,373.76,347.79,370.67,"1,220,030,000","32,813,200,000",4389.21,4625.68,4352.13,4579.02,"2,486,080,000","72,553,800,000",38.46,38.46,30.69,33.66,"168,534,000","1,922,840,000",144.24,144.5,128.02,133.03,"104,869,000","2,163,850,000",62.39,63.29,61.26,63.17,"294,799,000","3,286,610,000"
2017-08-28,350.04,352.05,338.41,347.75,"854,319,000","33,002,700,000",4384.45,4403.93,4224.64,4382.66,"1,959,330,000","72,467,900,000",40.23,40.31,37.38,38.45,"41,401,000","2,011,600,000",130.76,154.58,129.06,145.4,"216,036,000","1,961,250,000",61.36,64.92,59.87,62.36,"556,637,000","3,231,200,000"
2017-08-27,334.36,347.89,334.36,347.89,"633,370,000","31,517,500,000",4345.1,4416.59,4317.29,4382.88,"1,537,460,000","71,809,200,000",38.58,41.23,37.42,40.09,"50,649,600","1,928,770,000",137.59,138.88,124.81,130.68,"92,742,200","2,057,550,000",51.8,64.44,51.64,61.16,"890,546,000","2,726,990,000"
2017-08-26,331.99,334.99,327.92,333.88,"514,181,000","31,288,300,000",4372.06,4379.28,4269.52,4352.4,"1,511,610,000","72,249,100,000",40.31,40.52,37.7,38.59,"41,017,800","2,015,360,000",107.46,148.36,105.28,138.05,"301,843,000","1,606,920,000",51.17,52.26,50.45,51.75,"126,024,000","2,692,560,000"
2017-08-25,326.11,336.4,325.8,331.92,"760,329,000","30,727,900,000",4332.82,4455.7,4307.35,4371.6,"1,727,970,000","71,595,100,000",41.96,42.26,39.78,40.3,"47,772,200","2,098,230,000",86.47,108.36,85.34,108.26,"95,835,700","1,293,030,000",50.17,52.13,49.84,51.18,"157,619,000","2,639,490,000"
2017-08-24,317.45,327.96,317.08,325.61,"697,665,000","29,904,600,000",4137.6,4376.39,4130.26,4334.68,"2,037,750,000","68,363,900,000",39.92,42.13,39.31,42.05,"63,875,500","1,996,230,000",90.35,93.77,79.35,86.29,"70,187,100","1,351,030,000",52.82,53.28,50.19,50.19,"391,342,000","2,778,190,000"
2017-08-23,315.27,324.21,314.54,317.52,"811,990,000","29,691,900,000",4089.01,4255.78,4078.41,4151.52,"2,369,820,000","67,553,000,000",35.83,44.03,35.25,40.0,"131,763,000","1,791,670,000",91.01,99.71,85.51,90.33,"84,961,900","1,360,920,000",46.71,54.78,46.48,53.25,"447,188,000","2,456,090,000"
2017-08-22,321.06,327.36,297.91,314.79,"1,336,400,000","30,229,900,000",3998.35,4128.76,3674.58,4100.52,"3,764,240,000","66,051,000,000",35.16,36.17,31.6,35.85,"68,265,300","1,758,180,000",77.99,95.51,72.53,91.16,"150,286,000","1,166,240,000",47.9,47.9,45.48,46.73,"163,104,000","2,517,440,000"
2017-08-21,300.48,347.05,297.23,321.59,"2,448,970,000","28,285,500,000",4090.48,4109.14,3988.6,4001.74,"2,800,890,000","67,567,100,000",38.04,38.28,34.15,35.3,"85,955,000","1,902,060,000",54.67,95.08,52.87,77.82,"238,775,000","817,490,000",46.19,48.75,45.62,47.94,"207,172,000","2,427,130,000"
2017-08-20,296.64,301.43,291.58,301.43,"571,947,000","27,918,100,000",4189.31,4196.29,4069.88,4087.66,"2,109,770,000","69,192,700,000",39.63,40.65,38.16,38.19,"85,862,200","1,981,640,000",55.79,56.05,51.8,54.71,"15,702,600","834,239,000",45.38,47.55,44.75,46.23,"138,850,000","2,383,680,000"
2017-08-19,296.18,301.67,286.18,297.47,"860,202,000","27,867,900,000",4137.75,4243.26,3970.55,4193.7,"2,975,820,000","68,333,100,000",38.86,42.22,35.4,39.97,"168,358,000","1,943,180,000",46.97,58.03,46.97,55.96,"27,038,800","702,398,000",47.05,47.08,43.78,45.48,"155,404,000","2,471,190,000"
